# vitest run 2026-09-13: files=142 tests=1535 passed=1535 failed=0
# cases file
  16 src/lib/willab/additionsAndLock.test.ts
   6 src/lib/willab/autosaveDrafts.test.ts
  31 src/lib/willab/deckChunks.test.ts
  22 src/lib/willab/deckScroll.test.ts
  10 src/lib/willab/defaultDeck.test.ts
  34 src/lib/willab/documentParts.test.ts
  16 src/lib/willab/documentSegments.test.ts
  10 src/lib/willab/documentSettle.test.ts
  12 src/lib/willab/emphasizeQuote.test.ts
   4 src/lib/willab/exploreArc.test.ts
  13 src/lib/willab/idealTitleCache.test.ts
  11 src/lib/willab/linkify.test.ts
  18 src/lib/willab/markedEditorSerialize.test.ts
  23 src/lib/willab/praiseLane.test.ts
   4 src/lib/willab/presentationDocument.test.ts
  12 src/lib/willab/processingTake.test.ts
   8 src/lib/willab/readingBlocks.test.ts
  37 src/lib/willab/richMarkers.test.ts
   3 src/lib/willab/rootPhraseLayer.test.ts
   4 src/lib/willab/rootingPhraseQualification.test.ts
  15 src/lib/willab/trackedChangeWhy.test.ts
  13 src/lib/willab/trackedChanges.test.ts
   4 src/services/api/arcFeedback.tokens.test.ts
   5 src/services/api/bestPresentation.test.ts
  24 src/services/api/blockVariants.test.ts
   1 src/services/api/chatQuery.test.ts
  11 src/services/api/coachGuidanceDelivery.test.ts
   3 src/services/api/coachStudents.test.ts
   5 src/services/api/confidenceReview.test.ts
   2 src/services/api/confidentVoicePractice.test.ts
   2 src/services/api/founderConfidenceComparison.test.ts
  27 src/services/api/idealText.changes.test.ts
   6 src/services/api/idealText.coreEnrichment.test.ts
   2 src/services/api/idealText.exposure.test.ts
  15 src/services/api/idealText.pieces.test.ts
   2 src/services/api/idealText.recordingRoots.test.ts
  35 src/services/api/idealText.test.ts
  17 src/services/api/idealText.userEdit.test.ts
  44 src/services/api/journal.test.ts
  28 src/services/api/labRecording.test.ts
   3 src/services/api/learningExposures.test.ts
  11 src/services/api/lifeDraft.test.ts
   7 src/services/api/lifeStrategyDownload.test.ts
   9 src/services/api/loungeMessages.test.ts
   3 src/services/api/mlc2Consent.test.ts
   4 src/services/api/mlc3FirstClient.test.ts
   7 src/services/api/partLock.test.ts
   3 src/services/api/projects.test.ts
   3 src/services/api/recordingConfig.test.ts
   8 src/services/api/recordingProgress.test.ts
   2 src/services/api/sendTakeToCoach.test.ts
  37 src/services/api/starVerdicts.test.ts
   4 src/services/api/stateRatings.inline.test.ts
   7 src/services/api/stateRatings.test.ts
  14 src/services/api/strengths.test.ts
   1 src/services/api/suggestionFeedback.test.ts
   2 src/services/api/takeFeedback.test.ts
  33 src/services/api/tokens.test.ts
   3 src/services/api/trainingCorpus.languageRouting.test.ts
  60 src/services/api/trainingCorpus.test.ts
   5 src/services/api/transcriptEdits.test.ts
   3 src/services/api/uploadKey.test.ts
   3 src/services/api/userProfile.languages.test.ts
  23 src/services/api/userProfile.sex.test.ts
  35 src/services/api/willabMappers.test.ts
   8 src/services/api/winsDerive.test.ts
